genre,pub_year,genre,pub_year,mean_score,count
,1999,pop/r&b,2007,6.619999999999999,65
,1999,pop/r&b,2008,6.9253164556962075,79
,1999,pop/r&b,2009,6.938271604938274,81
,1999,pop/r&b,2010,7.078947368421054,76
,1999,pop/r&b,2011,6.938202247191011,89
,1999,pop/r&b,2012,6.866666666666666,72
,1999,pop/r&b,2013,7.007594936708864,79
,1999,pop/r&b,2014,6.765714285714288,70
,1999,pop/r&b,2015,7.037254901960782,102
,1999,pop/r&b,2016,7.2778625954198475,131
,1999,rap,1999,8.333333333333334,3
,1999,rap,2000,6.777777777777778,9
,1999,rap,2001,7.7,10
,1999,rap,2002,7.311627906976745,43
,1999,rap,2003,7.095454545454548,66
,1999,rap,2004,7.217808219178082,73
,1999,rap,2005,7.134999999999998,80
,1999,rap,2006,6.701639344262296,61
,1999,rap,2007,6.770769230769231,65
,1999,rap,2008,6.507042253521129,71
,1999,rap,2009,6.610256410256411,78
,1999,rap,2010,6.812048192771085,83
,1999,rap,2011,6.834000000000002,100
,1999,rap,2012,6.854814814814816,135
,1999,rap,2013,6.947368421052634,95
,1999,rap,2014,7.119148936170211,94
,1999,rap,2015,6.959493670886072,158
,1999,rap,2016,6.9679347826087,184
,1999,rap,2017,6.38,5
,1999,rock,1999,6.755045871559632,109
,1999,rock,2000,6.7697916666666655,192
,1999,rock,2001,7.221900826446277,242
,1999,rock,2002,6.680528846153846,416
,1999,rock,2003,6.893482688391045,491
,1999,rock,2004,7.197537878787881,528
,1999,rock,2005,6.9508591065292205,582
,1999,rock,2006,6.945391304347829,575
,1999,rock,2007,6.79229480737019,597
,1999,rock,2008,6.84982876712329,584
,1999,rock,2009,6.773381294964029,556
,1999,rock,2010,6.924180327868848,488
,1999,rock,2011,7.080041152263378,486
,1999,rock,2012,7.010361445783133,415
,1999,rock,2013,7.092708333333342,384
,1999,rock,2014,7.047633136094675,338
,1999,rock,2015,6.970669745958429,433
,1999,rock,2016,7.287153652392952,397
,1999,rock,2017,8.15,2
,2000,,1999,7.24,15
,2000,,2000,6.575862068965517,29
,2000,,2001,6.778431372549019,51
,2000,,2002,6.767532467532462,154
,2000,,2003,6.908196721311474,122
,2000,,2004,7.305645161290324,124
,2000,,2005,7.222900763358777,131
,2000,,2006,6.993181818181817,132
,2000,,2007,7.048993288590604,149
,2000,,2008,6.974045801526716,131
,2000,,2009,6.946601941747573,103
,2000,,2010,7.093859649122808,114
,2000,,2011,7.204040404040402,99
,2000,,2012,6.940990990990988,222
,2000,,2013,6.935668789808921,314
,2000,,2014,7.072980501392765,359
,2000,,2015,7.213953488372093,43
,2000,,2016,7.150704225352112,71
,2000,,2017,7.0,2
,2000,electronic,1999,6.841818181818183,55
,2000,electronic,2000,7.239655172413792,58
,2000,electronic,2001,6.898611111111112,72
,2000,electronic,2002,7.037323943661971,142
,2000,electronic,2003,6.852486187845304,181
,2000,electronic,2004,7.052866242038216,157
,2000,electronic,2005,7.033333333333334,177
,2000,electronic,2006,6.914024390243903,164
,2000,electronic,2007,6.858273381294962,139
,2000,electronic,2008,6.824999999999998,148
,2000,electronic,2009,6.638333333333336,180
,2000,electronic,2010,6.876651982378855,227
,2000,electronic,2011,6.900000000000006,237
,2000,electronic,2012,6.98051282051282,195
,2000,electronic,2013,7.0466666666666695,180
,2000,electronic,2014,6.989610389610392,154
,2000,electronic,2015,7.152500000000003,200
,2000,electronic,2016,7.115652173913044,230
,2000,electronic,2017,8.0,4
,2000,experimental,1999,6.638888888888889,18
,2000,experimental,2000,6.230769230769231,13
,2000,experimental,2001,7.6466666666666665,30
,2000,experimental,2002,7.376,50
,2000,experimental,2003,7.474285714285715,70
,2000,experimental,2004,7.620253164556962,79
,2000,experimental,2005,7.146478873239437,71
,2000,experimental,2006,7.205194805194805,77
,2000,experimental,2007,7.204054054054055,74
,2000,experimental,2008,7.284057971014492,69
,2000,experimental,2009,7.080882352941177,68
,2000,experimental,2010,7.333802816901407,71
,2000,experimental,2011,7.297101449275365,69
,2000,experimental,2012,7.365624999999999,64
,2000,experimental,2013,7.2078125,64
,2000,experimental,2014,7.401515151515151,66
,2000,experimental,2015,7.5074999999999985,80
,2000,experimental,2016,7.484761904761904,105
,2000,experimental,2017,7.7,3
,2000,folk/country,1999,7.766666666666666,6
,2000,folk/country,2000,7.75,4
,2000,folk/country,2001,7.561538461538461,13
,2000,folk/country,2002,7.007692307692308,26
,2000,folk/country,2003,7.245454545454546,33
,2000,folk/country,2004,7.342857142857145,42
,2000,folk/country,2005,7.227499999999999,40
,2000,folk/country,2006,7.412000000000001,50
,2000,folk/country,2007,7.053225806451613,62
,2000,folk/country,2008,6.908333333333331,48
,2000,folk/country,2009,7.022222222222221,45
,2000,folk/country,2010,7.058139534883721,43
,2000,folk/country,2011,7.202702702702703,37
,2000,folk/country,2012,7.590476190476191,21
,2000,folk/country,2013,7.020833333333335,24
,2000,folk/country,2014,7.625,28
,2000,folk/country,2015,7.330952380952381,42
,2000,folk/country,2016,7.436734693877553,49
,2000,global,1999,9.0,1
